Dataset,Algorithm,Time (s),Clusters,Silhouette,Calinski,Davies
aniso,KMeans,0.1354,3,0.7297,7133.10,0.38
aniso,MiniBatchKMeans,0.0394,3,0.7297,7133.10,0.38
aniso,AffinityPropagation,1.5851,286,0.2570,233.64,0.35
aniso,MeanShift,1.1284,1,0.0000,0.00,0.00
aniso,SpectralClustering,0.1370,3,0.7280,7121.00,0.39
aniso,Ward,0.0112,3,0.7294,7095.01,0.38
aniso,AgglomerativeClustering,0.0097,3,0.7294,7095.01,0.38
aniso,DBSCAN,0.0057,3,0.7294,7095.01,0.38
aniso,OPTICS,0.3873,4,0.2030,368.96,1.21
aniso,Birch,0.0083,3,0.7297,7133.10,0.38
aniso,GaussianMixture,0.0075,3,0.7294,7095.01,0.38
circles,KMeans,0.0040,3,0.3844,588.69,0.85
circles,MiniBatchKMeans,0.0335,3,0.3829,584.51,0.85
circles,AffinityPropagation,1.1409,22,0.4475,1178.76,0.61
circles,MeanShift,1.6499,1,0.0000,0.00,0.00
circles,SpectralClustering,0.1519,3,0.3889,600.28,0.84
circles,Ward,0.0119,3,0.3240,443.60,0.93
circles,AgglomerativeClustering,0.0067,3,0.3240,443.60,0.93
circles,DBSCAN,0.0033,2,0.1140,0.02,170.03
circles,OPTICS,0.3734,6,0.1289,204.11,1.86
circles,Birch,0.0092,3,0.3345,469.78,0.92
circles,GaussianMixture,0.0072,3,0.3844,588.69,0.85
combined_aniso_circles,KMeans,0.0021,3,0.7294,3954.26,0.50
combined_aniso_circles,MiniBatchKMeans,0.0056,3,0.4810,7129.18,0.69
combined_aniso_circles,AffinityPropagation,9.8604,77,0.3145,3297.15,0.67
combined_aniso_circles,MeanShift,1.0005,2,0.8023,7396.55,0.25
combined_aniso_circles,SpectralClustering,0.2436,3,0.5848,7102.62,0.45
combined_aniso_circles,Ward,0.0365,3,0.5843,7034.58,0.45
combined_aniso_circles,AgglomerativeClustering,0.0264,3,0.5843,7034.58,0.45
combined_aniso_circles,DBSCAN,0.0124,3,0.6551,3745.75,0.56
combined_aniso_circles,OPTICS,0.6993,6,0.2192,1213.79,3.75
combined_aniso_circles,Birch,0.0145,3,0.4935,7268.60,0.66
combined_aniso_circles,GaussianMixture,0.0061,3,0.7298,3947.83,0.50
